# Tectonic upstream baseline file manifest
# revision	upstream-3.0.17-forge-1.20.1
# revision_timestamp	2025-11-08T00:24:20-05:00
path	size_bytes	sha256	source_set	in_final_forge_1_20_1_jar	inclusion_mode
.gitignore	635	d5f2600f9317306cc2335c9c983e97368c1f52816a3d0b4b25678faeef9e32e6	repository	NO	-
.idea/.gitignore	50	e2e37ed60c50d8e41c42aa9f3505642a5f1689e67fb6bc7fe8a06dab09a0fa96	repository	NO	-
.idea/.name	8	e564d120a0e4f6e8413c455e7e325b8b955bffd6274951d67552ebecc89083dd	repository	NO	-
.idea/codeStyles/codeStyleConfig.xml	146	d8e8720a8dd48f11d9c361a208d80dbecaa3922428da2b84323488a009e9700b	repository	NO	-
.idea/codeStyles/Project.xml	390	a0f33a293791f57b022a36637d99c0ce7cea07dff13f038d61a074c94ab794e9	repository	NO	-
.idea/gradle.xml	594	18332ae2ebbc955ff3e476a83d3c6e17b1b08c4dd5a079e1357cdf2d63ddc648	repository	NO	-
.idea/kotlinc.xml	181	ea747698fbf40b7fdbd0b1eb8a58acca930a7102fc8c0a549ff97bee2e07f81e	repository	NO	-
.idea/misc.xml	294	58aa04752b0091dce3b245f423ea864f3cfbc54938513dfec957c302d06a51b1	repository	NO	-
.idea/uiDesigner.xml	8915	44296804b12b526eff88f6c81728953d1b521cdda8fb3224e256c5d608f50dc5	repository	NO	-
.idea/vcs.xml	172	62be7e0a7f84ab3c35b4d4bafb890a4951d061eadafde1a10aa3f5d0406db5df	repository	NO	-
build.gradle.kts	5271	fd55dbcd8224b4b8061bdae1059fca95003967b51898077a7055a39a176822c8	build	NO	-
gradle.properties	79	ae99053aa2fd26e778af296b3b88979df95446e54270a3b88eb15542342d7d57	build	NO	-
gradle/wrapper/gradle-wrapper.jar	60756	91a239400bb638f36a1795d8fdf7939d532cdc7d794d1119b7261aac158b1e60	build	NO	-
gradle/wrapper/gradle-wrapper.properties	237	dd3709f19b8db2e9c24041e5488b7ce455cdca77bc781c079949639becaf7ccf	build	NO	-
gradlew	8304	a65c5770afb02757235d404e2b19d7a29da69593a6c2e843f7139de6940751ee	repository	NO	-
gradlew.bat	2763	af835f98787e9269af5a046edcb821a592fed372139df7b947b471a63cfc236b	repository	NO	-
README.md	201	6866b57286cfcc209681092304a86a73c582b58688c0ea357be7b122f2a06fe8	repository	NO	-
settings.gradle.kts	221	385ebf2dbff9b8e79c5480199afc2c87f75566c42c6a4506d57844abbb0ad239	build	NO	-
src/common/main/java/dev/worldgen/tectonic/client/ConfigListBuilder.java	6323	4b5f6bb6714f91f31cb6fd86db7cb8e9d9b662d7f5a9c2f8ba690a893e1190b3	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/command/TectonicCommand.java	12493	65ee178330b7f40c7fefdeadefc2bd360fb49124afef150893f59d11b8ba18bd	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/config/ConfigHandler.java	2646	f4d0ec74187451844a523c9c0b041efaee53b0838ee94fb03481702bb5cfeafb	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/config/state/ConfigPresets.java	1770	d46b30ca8f86e6e55ad346a703fb5c2051d809dbe3cdb3d881daa5e3491040f7	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/config/state/ConfigState.java	16686	33c7ac29872980b9366873ff862417ce79ba4f34d29aa225d69ac0192ed8f8b6	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/config/state/object/HeightLimits.java	1927	e78a4f5fc349ef23181074fcf695f7673cc7c46193791f807d3d06229303e6a2	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/config/state/object/NoiseState.java	1019	1c7f1fb9858fc7fccfb190d115430c809049846a544af5a5e0b638fa67bdb2fc	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/config/state/V1ConfigState.java	3007	75eb7da48e976685e31763be9daa18b1c8f1f52fe11353e3e15375ccd228cf91	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/config/state/V2ConfigState.java	5190	cd978ae7c2a8f593e82021e0d82ecbe5778f449245a95c8f4e5caecfe6dbc305	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/BiomeMixin.java	693	769e6b06ee4d0eac3a5cf0a10539cd7119dbccd1e9a22eb8fc8cd63f9591db95	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/BlendingDataMixin.java	1251	0379d8267709b5ac96ba56a2531eaea2aa077bf2f4973156b3f0d0d3ec821a53	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/ChunkAccessMixin.java	856	c59a76cecb6039301f2df9b84f8c779f02b9f1040d88a62ff402d20835df0231	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/client/WorldCreationUiStateMixin.java	1522	70460f9f861d61016770072214340646cca78d369f469f78363ac85f5e7ee098	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/DimensionTypeAccessor.java	533	9895d311347439eccec83e16b6f656f25caadc4a8255c26148ca90b9fa68d511	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/HeightmapMixin.java	520	f56d3143556e45c4ca36ccaf054a25d0dd9267b1ec05c21574922bfe37893728	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/IOWorkerMixin.java	802	8c2e9507b64ed92fca709dfa3e01ce4ffec2cd7b2322cdb72f6df19a7fbeba0b	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/NoiseBasedChunkGeneratorMixin.java	2497	8150fffa3a22635a182a676e2e8f40a8e7f85d06ac82d7e14b712b0271efb4f0	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/NoiseSettingsAccessor.java	442	1bb2566c6047bc0df8a0db1703987b28834b978f57b0e4f412328fff3c605699	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/NoisesMixin.java	1047	5c2a14bfca019152313e80994eb684e33ba867c9fc064c4008d775af9aae007e	common:main	YES	compiled class
